
MatchID,Team,Player,Goals,Assists,Passes,Tackles,Possession,Formation
120,Juventus,Player 1,1,2,70,5,45.5,3-5-2
499,Arsenal,Player 2,1,0,92,5,65.6,4-3-3
309,Juventus,Player 3,0,1,41,3,69.7,4-2-3-1
172,Juventus,Player 4,0,2,20,0,51.7,4-4-2
353,Inter Milan,Player 5,0,0,55,3,68.9,4-2-3-1
177,Inter Milan,Player 6,3,1,82,2,57.2,4-4-2
269,Inter Milan,Player 7,0,2,92,0,57.9,3-4-3
36,Juventus,Player 8,2,2,42,3,52.2,3-4-3
186,Real Madrid,Player 9,1,1,64,4,54.8,3-5-2
205,Juventus,Player 10,3,0,24,1,53.7,4-4-2
273,Inter Milan,Player 11,3,2,92,0,65.9,3-5-2
120,Barcelona,Player 12,2,1,22,1,60.6,4-3-3
314,Liverpool,Player 13,3,1,58,4,47.2,3-5-2
147,Manchester City,Player 14,0,1,78,1,52.1,4-4-2
423,Bayern Munich,Player 15,3,2,57,1,43.3,3-5-2
466,Bayern Munich,Player 16,0,2,88,5,51.3,4-4-2
111,PSG,Player 17,1,2,30,0,53.8,3-4-3
185,Juventus,Player 18,3,0,35,2,69.6,4-4-2
315,Real Madrid,Player 19,2,1,20,5,40.2,3-5-2
54,PSG,Player 20,2,1,93,3,54.7,3-5-2
466,PSG,Player 21,0,2,37,0,66.0,4-4-2
381,PSG,Player 22,3,1,92,4,40.9,4-2-3-1
428,Arsenal,Player 23,3,2,81,2,42.0,4-3-3
34,Barcelona,Player 24,0,0,95,3,47.7,4-3-3
87,Bayern Munich,Player 25,2,0,33,5,62.5,4-2-3-1
39,Manchester City,Player 26,3,1,89,5,53.8,4-4-2
383,Bayern Munich,Player 27,0,2,45,0,45.7,4-2-3-1
238,Manchester City,Player 28,2,1,93,3,50.7,3-4-3
241,Bayern Munich,Player 29,3,1,85,5,48.8,4-4-2
167,Manchester City,Player 30,2,2,80,5,53.6,3-4-3
488,Real Madrid,Player 31,0,0,26,2,55.4,3-5-2
343,Inter Milan,Player 32,2,2,76,5,51.7,4-3-3
430,Bayern Munich,Player 33,3,1,19,1,54.4,4-2-3-1
291,Liverpool,Player 34,0,1,68,5,63.2,3-4-3
254,Real Madrid,Player 35,2,1,58,3,42.7,4-3-3
457,Real Madrid,Player 36,3,2,92,0,52.9,3-4-3
407,Chelsea,Player 37,1,0,42,0,66.8,3-5-2
287,Chelsea,Player 38,1,0,100,3,44.4,3-4-3
202,PSG,Player 39,3,0,39,3,49.8,4-4-2
91,Barcelona,Player 40,1,1,48,5,47.4,4-2-3-1
298,Barcelona,Player 41,3,2,96,4,60.3,3-4-3
137,Arsenal,Player 42,0,0,86,3,62.9,3-5-2
387,Barcelona,Player 43,1,2,16,3,59.1,4-3-3
369,Arsenal,Player 44,0,1,89,3,62.5,3-5-2
411,Bayern Munich,Player 45,0,1,31,3,45.5,4-2-3-1
255,Chelsea,Player 46,3,2,17,2,40.1,4-2-3-1
435,Inter Milan,Player 47,3,2,96,4,49.1,3-4-3
388,Juventus,Player 48,0,1,39,1,67.8,4-2-3-1
92,Arsenal,Player 49,3,0,18,4,61.4,3-4-3
247,Bayern Munich,Player 50,2,1,63,2,66.4,3-5-2
403,Barcelona,Player 51,3,1,46,0,64.3,3-5-2
195,Juventus,Player 52,3,1,27,1,56.3,4-2-3-1
113,Real Madrid,Player 53,3,0,29,0,62.8,3-4-3
325,Barcelona,Player 54,1,0,95,0,46.6,3-4-3
283,Real Madrid,Player 55,0,1,23,3,52.6,4-2-3-1
100,Juventus,Player 56,2,2,15,2,47.1,4-4-2
119,Liverpool,Player 57,0,1,85,5,57.3,4-3-3
377,Barcelona,Player 58,1,2,55,4,52.6,4-2-3-1
447,Manchester City,Player 59,2,0,12,0,50.0,3-4-3
63,Manchester City,Player 60,2,0,19,1,42.5,3-4-3
259,Barcelona,Player 61,0,2,83,1,68.1,3-5-2
50,Barcelona,Player 62,2,2,81,5,49.5,4-2-3-1
204,Bayern Munich,Player 63,1,1,75,0,49.6,3-5-2
474,Inter Milan,Player 64,0,2,50,1,62.6,4-2-3-1
384,Bayern Munich,Player 65,1,2,49,3,47.9,3-4-3
107,Real Madrid,Player 66,0,1,72,2,44.5,3-4-3
47,Inter Milan,Player 67,3,0,61,0,63.7,3-5-2
438,Inter Milan,Player 68,0,0,92,4,59.0,4-4-2
106,Manchester City,Player 69,3,2,96,4,56.0,4-3-3
485,Juventus,Player 70,3,2,16,3,64.1,4-3-3
489,Barcelona,Player 71,3,2,98,1,66.1,4-4-2
